date,state,district,crop_type,crop_species,planted_area
2017-01-01,Johor,Batu Pahat,cash_crops,cassava,39.0
2017-01-01,Johor,Batu Pahat,cash_crops,groundnuts,0.0
2017-01-01,Johor,Batu Pahat,cash_crops,sweet_corn,0.0
2017-01-01,Johor,Batu Pahat,cash_crops,sweet_potato,25.0
2017-01-01,Johor,Batu Pahat,cash_crops,yam,22.6
2017-01-01,Johor,Batu Pahat,cash_crops,yellow_sugar_cane,0.0
2017-01-01,Johor,Batu Pahat,fruit,banana,1280.0
2017-01-01,Johor,Batu Pahat,fruit,cempedak,45.5
2017-01-01,Johor,Batu Pahat,fruit,ciku,0.0
2017-01-01,Johor,Batu Pahat,fruit,dokong,8.0
2017-01-01,Johor,Batu Pahat,fruit,dragon_fruit,14.0
2017-01-01,Johor,Batu Pahat,fruit,duku,54.0
2017-01-01,Johor,Batu Pahat,fruit,durian,1863.0
2017-01-01,Johor,Batu Pahat,fruit,guava,140.3
2017-01-01,Johor,Batu Pahat,fruit,jackfruit,80.8
2017-01-01,Johor,Batu Pahat,fruit,langsat,0.0
2017-01-01,Johor,Batu Pahat,fruit,mango,1.5
2017-01-01,Johor,Batu Pahat,fruit,mangosteen,0.0
2017-01-01,Johor,Batu Pahat,fruit,papaya,339.0
2017-01-01,Johor,Batu Pahat,fruit,pineapple,1499.2
2017-01-01,Johor,Batu Pahat,fruit,pomelo,0.0
2017-01-01,Johor,Batu Pahat,fruit,pulasan,6.0
2017-01-01,Johor,Batu Pahat,fruit,rambutan,108.0
2017-01-01,Johor,Batu Pahat,fruit,salak,0.0
2017-01-01,Johor,Batu Pahat,fruit,starfruit,24.0
2017-01-01,Johor,Batu Pahat,fruit,sweet_orange,0.0
2017-01-01,Johor,Batu Pahat,fruit,watermelon,0.0
2017-01-01,Johor,Batu Pahat,herbs,aloe_vera,0.0
2017-01-01,Johor,Batu Pahat,herbs,basil,0.0
2017-01-01,Johor,Batu Pahat,herbs,belalai_gajah,0.0
2017-01-01,Johor,Batu Pahat,herbs,betel_vine,0.0
2017-01-01,Johor,Batu Pahat,herbs,bonglai,0.0
2017-01-01,Johor,Batu Pahat,herbs,cekur,0.2
2017-01-01,Johor,Batu Pahat,herbs,fragrant_lemon_grass,4.0
2017-01-01,Johor,Batu Pahat,herbs,henna,0.0
2017-01-01,Johor,Batu Pahat,herbs,lemon_myrtle,0.1
2017-01-01,Johor,Batu Pahat,herbs,long_jack,0.0
2017-01-01,Johor,Batu Pahat,herbs,misai_kucing,0.0
2017-01-01,Johor,Batu Pahat,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Batu Pahat,herbs,pandan,0.0
2017-01-01,Johor,Batu Pahat,herbs,pegaga,0.0
2017-01-01,Johor,Batu Pahat,herbs,petai,0.0
2017-01-01,Johor,Batu Pahat,herbs,swamp_willow_weed,0.0
2017-01-01,Johor,Batu Pahat,herbs,temu_lawak,0.0
2017-01-01,Johor,Batu Pahat,herbs,tenggek_burung,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,coconut,5887.31
2017-01-01,Johor,Batu Pahat,industrial_crops,coffee,375.1
2017-01-01,Johor,Batu Pahat,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,kelulut_bee,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,mushroom,0.1
2017-01-01,Johor,Batu Pahat,industrial_crops,roselle,3.6
2017-01-01,Johor,Batu Pahat,spices,asam_gelugor,0.0
2017-01-01,Johor,Batu Pahat,spices,asam_jawa,0.0
2017-01-01,Johor,Batu Pahat,spices,black_pepper,0.0
2017-01-01,Johor,Batu Pahat,spices,calamondin_lime,68.0
2017-01-01,Johor,Batu Pahat,spices,curry_tree,0.0
2017-01-01,Johor,Batu Pahat,spices,ginger,0.0
2017-01-01,Johor,Batu Pahat,spices,greater_galangal,24.0
2017-01-01,Johor,Batu Pahat,spices,kaffir_lime,0.0
2017-01-01,Johor,Batu Pahat,spices,lemon_grass,3.8
2017-01-01,Johor,Batu Pahat,spices,lime,0.5
2017-01-01,Johor,Batu Pahat,spices,pink_cone_ginger,9.4
2017-01-01,Johor,Batu Pahat,spices,turmeric,0.0
2017-01-01,Johor,Batu Pahat,spices,water_celery,0.0
2017-01-01,Johor,Batu Pahat,vegetables,birds_eye_chili,5.1
2017-01-01,Johor,Batu Pahat,vegetables,bitter_gourd,219.4
2017-01-01,Johor,Batu Pahat,vegetables,bottle_gourd,1.0
2017-01-01,Johor,Batu Pahat,vegetables,brinjal,188.7
2017-01-01,Johor,Batu Pahat,vegetables,celery,0.0
2017-01-01,Johor,Batu Pahat,vegetables,chinese_chives,0.0
2017-01-01,Johor,Batu Pahat,vegetables,chinese_kale,32.11
2017-01-01,Johor,Batu Pahat,vegetables,chinese_spinach,0.0
2017-01-01,Johor,Batu Pahat,vegetables,cucumber,169.45
2017-01-01,Johor,Batu Pahat,vegetables,dwarf_bitter_gourd,0.5
2017-01-01,Johor,Batu Pahat,vegetables,fourangled_bean,0.11
2017-01-01,Johor,Batu Pahat,vegetables,french_bean,6.6
2017-01-01,Johor,Batu Pahat,vegetables,ladys_finger,246.3
2017-01-01,Johor,Batu Pahat,vegetables,lettuce,0.0
2017-01-01,Johor,Batu Pahat,vegetables,long_bean,413.2
2017-01-01,Johor,Batu Pahat,vegetables,luffa,23.37
2017-01-01,Johor,Batu Pahat,vegetables,mustard,70.06
2017-01-01,Johor,Batu Pahat,vegetables,pumpkin,0.8
2017-01-01,Johor,Batu Pahat,vegetables,red_chilli,209.5
2017-01-01,Johor,Batu Pahat,vegetables,spring_onion,0.0
2017-01-01,Johor,Batu Pahat,vegetables,sweet_shoot,0.0
2017-01-01,Johor,Batu Pahat,vegetables,tomato,0.0
2017-01-01,Johor,Batu Pahat,vegetables,water_spinach,0.0
2017-01-01,Johor,Batu Pahat,vegetables,wax_gourd,2.0
2017-01-01,Johor,Johor Bahru,cash_crops,cassava,305.5
2017-01-01,Johor,Johor Bahru,cash_crops,groundnuts,0.0
2017-01-01,Johor,Johor Bahru,cash_crops,sweet_corn,1.6
2017-01-01,Johor,Johor Bahru,cash_crops,sweet_potato,17.9
2017-01-01,Johor,Johor Bahru,cash_crops,yam,1.7
2017-01-01,Johor,Johor Bahru,cash_crops,yellow_sugar_cane,13.4
2017-01-01,Johor,Johor Bahru,fruit,banana,207.07
2017-01-01,Johor,Johor Bahru,fruit,cempedak,16.3
2017-01-01,Johor,Johor Bahru,fruit,ciku,5.9
2017-01-01,Johor,Johor Bahru,fruit,dokong,5.1
2017-01-01,Johor,Johor Bahru,fruit,dragon_fruit,0.0
2017-01-01,Johor,Johor Bahru,fruit,duku,21.1
2017-01-01,Johor,Johor Bahru,fruit,durian,225.2
2017-01-01,Johor,Johor Bahru,fruit,guava,20.4
2017-01-01,Johor,Johor Bahru,fruit,jackfruit,6.2
2017-01-01,Johor,Johor Bahru,fruit,langsat,0.0
2017-01-01,Johor,Johor Bahru,fruit,mango,0.0
2017-01-01,Johor,Johor Bahru,fruit,mangosteen,2.7
2017-01-01,Johor,Johor Bahru,fruit,papaya,30.0
2017-01-01,Johor,Johor Bahru,fruit,pineapple,152.0
2017-01-01,Johor,Johor Bahru,fruit,pomelo,0.0
2017-01-01,Johor,Johor Bahru,fruit,pulasan,4.8
2017-01-01,Johor,Johor Bahru,fruit,rambutan,66.2
2017-01-01,Johor,Johor Bahru,fruit,salak,0.0
2017-01-01,Johor,Johor Bahru,fruit,starfruit,0.0
2017-01-01,Johor,Johor Bahru,fruit,sweet_orange,11.0
2017-01-01,Johor,Johor Bahru,fruit,watermelon,0.0
2017-01-01,Johor,Johor Bahru,herbs,aloe_vera,0.1
2017-01-01,Johor,Johor Bahru,herbs,basil,0.0
2017-01-01,Johor,Johor Bahru,herbs,belalai_gajah,0.0
2017-01-01,Johor,Johor Bahru,herbs,betel_vine,0.0
2017-01-01,Johor,Johor Bahru,herbs,bonglai,0.0
2017-01-01,Johor,Johor Bahru,herbs,cekur,0.0
2017-01-01,Johor,Johor Bahru,herbs,fragrant_lemon_grass,1.5
2017-01-01,Johor,Johor Bahru,herbs,henna,0.0
2017-01-01,Johor,Johor Bahru,herbs,lemon_myrtle,0.0
2017-01-01,Johor,Johor Bahru,herbs,long_jack,7.0
2017-01-01,Johor,Johor Bahru,herbs,misai_kucing,0.0
2017-01-01,Johor,Johor Bahru,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Johor Bahru,herbs,pandan,0.0
2017-01-01,Johor,Johor Bahru,herbs,pegaga,0.0
2017-01-01,Johor,Johor Bahru,herbs,petai,0.0
2017-01-01,Johor,Johor Bahru,herbs,swamp_willow_weed,0.0
2017-01-01,Johor,Johor Bahru,herbs,temu_lawak,0.0
2017-01-01,Johor,Johor Bahru,herbs,tenggek_burung,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,coconut,72.94
2017-01-01,Johor,Johor Bahru,industrial_crops,coffee,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,kelulut_bee,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,mushroom,11.4
2017-01-01,Johor,Johor Bahru,industrial_crops,roselle,0.0
2017-01-01,Johor,Johor Bahru,spices,asam_gelugor,0.0
2017-01-01,Johor,Johor Bahru,spices,asam_jawa,0.0
2017-01-01,Johor,Johor Bahru,spices,black_pepper,2.6
2017-01-01,Johor,Johor Bahru,spices,calamondin_lime,20.0
2017-01-01,Johor,Johor Bahru,spices,curry_tree,0.0
2017-01-01,Johor,Johor Bahru,spices,ginger,0.0
2017-01-01,Johor,Johor Bahru,spices,greater_galangal,0.0
2017-01-01,Johor,Johor Bahru,spices,kaffir_lime,0.0
2017-01-01,Johor,Johor Bahru,spices,lemon_grass,114.6
2017-01-01,Johor,Johor Bahru,spices,lime,0.0
2017-01-01,Johor,Johor Bahru,spices,pink_cone_ginger,0.4
2017-01-01,Johor,Johor Bahru,spices,turmeric,0.0
2017-01-01,Johor,Johor Bahru,spices,water_celery,0.0
2017-01-01,Johor,Johor Bahru,vegetables,birds_eye_chili,32.51
2017-01-01,Johor,Johor Bahru,vegetables,bitter_gourd,0.0
2017-01-01,Johor,Johor Bahru,vegetables,bottle_gourd,0.0
2017-01-01,Johor,Johor Bahru,vegetables,brinjal,106.39
2017-01-01,Johor,Johor Bahru,vegetables,celery,42.0
2017-01-01,Johor,Johor Bahru,vegetables,chinese_chives,100.0
2017-01-01,Johor,Johor Bahru,vegetables,chinese_kale,367.2
2017-01-01,Johor,Johor Bahru,vegetables,chinese_spinach,1256.9
2017-01-01,Johor,Johor Bahru,vegetables,cucumber,122.6
2017-01-01,Johor,Johor Bahru,vegetables,dwarf_bitter_gourd,1.0
2017-01-01,Johor,Johor Bahru,vegetables,fourangled_bean,3.4
2017-01-01,Johor,Johor Bahru,vegetables,french_bean,0.0
2017-01-01,Johor,Johor Bahru,vegetables,ladys_finger,106.4
2017-01-01,Johor,Johor Bahru,vegetables,lettuce,48.0
2017-01-01,Johor,Johor Bahru,vegetables,long_bean,243.8
2017-01-01,Johor,Johor Bahru,vegetables,luffa,128.0
2017-01-01,Johor,Johor Bahru,vegetables,mustard,1216.13
2017-01-01,Johor,Johor Bahru,vegetables,pumpkin,0.0
2017-01-01,Johor,Johor Bahru,vegetables,red_chilli,26.4
2017-01-01,Johor,Johor Bahru,vegetables,spring_onion,0.0
2017-01-01,Johor,Johor Bahru,vegetables,sweet_shoot,0.0
2017-01-01,Johor,Johor Bahru,vegetables,tomato,0.0
2017-01-01,Johor,Johor Bahru,vegetables,water_spinach,824.2
2017-01-01,Johor,Johor Bahru,vegetables,wax_gourd,0.0
2017-01-01,Johor,Kluang,cash_crops,cassava,157.0
2017-01-01,Johor,Kluang,cash_crops,groundnuts,0.0
2017-01-01,Johor,Kluang,cash_crops,sweet_corn,283.1
2017-01-01,Johor,Kluang,cash_crops,sweet_potato,24.7
2017-01-01,Johor,Kluang,cash_crops,yam,24.2
2017-01-01,Johor,Kluang,cash_crops,yellow_sugar_cane,13.0
2017-01-01,Johor,Kluang,fruit,banana,277.1
2017-01-01,Johor,Kluang,fruit,cempedak,93.2
2017-01-01,Johor,Kluang,fruit,ciku,89.2
2017-01-01,Johor,Kluang,fruit,dokong,75.6
